№,ID ЖК,Место Регион / РФ,+/-,Наименование ЖК,Регион,Адрес ЖК,Оценка ЕРЗ,Квартир в продаже,Класс,Этажность,Застройщик,Рейтинг ЕРЗ
15.0,24936416001.0,15/79,0,ЖК Фрунзенская набережная | https://erzrf.ru/novostroyki/zhk-frunzenskaja-naberezhnaja-24936416001?regionKey=143443001&gkId=24936416001,г.Москва,"г.Москва, округ Центральный, р-н Хамовники, наб.Фрунзенская",59.05,172.0,элитный,многоэтажные дома,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
16.0,9005070001.0,16/85,0,ЖК LIFE-Варшавская | https://erzrf.ru/novostroyki/zhk-life-varshavskaja-9005070001?regionKey=143443001&gkId=9005070001,г.Москва,"г.Москва, округ Южный, р-н Москворечье-Сабурово, пр-д Каширский",58.35,80.0,бизнес,многоэтажные дома,ГК Пионер | https://erzrf.ru/zastroyschiki/brand/430031001?regionKey=0&organizationId=430031001,5.0
17.0,16941099001.0,17/86,0,ЖК Sydney City | https://erzrf.ru/novostroyki/zhk-sydney-city-16941099001?regionKey=143443001&gkId=16941099001,г.Москва,"г.Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, ул.Шеногина",58.25,369.0,элитный,высотные дома,ГК ФСК | https://erzrf.ru/zastroyschiki/brand/755344001?regionKey=0&organizationId=755344001,4.0
18.0,24981984001.0,18/88,0,ЖК Тишинский Бульвар | https://erzrf.ru/novostroyki/zhk-tishinskij-bulvar-24981984001?regionKey=143443001&gkId=24981984001,г.Москва,"г.Москва, округ Центральный, р-н Пресненский, пер.Электрический",58.2,249.0,элитный,многоэтажные дома,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
19.0,6310719001.0,19/94,0,ЖК Резиденции архитекторов | https://erzrf.ru/novostroyki/zhk-rezidencii-arkhitektorov-6310719001?regionKey=143443001&gkId=6310719001,г.Москва,"г.Москва, округ Центральный, р-н Басманный, ул.Большая Почтовая",57.05,110.0,бизнес,многоэтажные дома,AFI Development | https://erzrf.ru/zastroyschiki/brand/1189186001?regionKey=0&organizationId=1189186001,4.5
20.0,21858733001.0,20/100,0,ЖК LIFE TIME | https://erzrf.ru/novostroyki/zhk-life-time-21858733001?regionKey=143443001&gkId=21858733001,г.Москва,"г.Москва, округ Центральный, р-н Пресненский, ул.Сергея Макеева",56.55,319.0,элитный,дома повышенной этажности,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
21.0,21161667001.0,21/104,0,ЖК СберСити в Рублёво-Архангельском | https://erzrf.ru/novostroyki/zhk-sbersiti-v-rublevo-arkhangelskom-21161667001?regionKey=143443001&gkId=21161667001,г.Москва,"г.Москва, округ Западный, р-н Кунцево",56.0,212.0,комфорт,многоэтажные дома,Рублево-Архангельское | https://erzrf.ru/zastroyschiki/brand/21161735001?regionKey=0&organizationId=21161735001,3.0
22.0,18005046001.0,22/106,+30,ЖК VERY | https://erzrf.ru/novostroyki/zhk-very-18005046001?regionKey=143443001&gkId=18005046001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Марфино, ул.Ботаническая",55.9,87.0,бизнес,высотные дома,ГК ОСНОВА | https://erzrf.ru/zastroyschiki/brand/6201034001?regionKey=0&organizationId=6201034001,5.0
23.0,5449841001.0,23/115,-1,ЖК Династия | https://erzrf.ru/novostroyki/zhk-dinastija-5449841001?regionKey=143443001&gkId=5449841001,г.Москва,"г.Москва, округ Северный, р-н Хорошёвский, ш.Хорошёвское",55.15,9.0,бизнес,высотные дома,Холдинг Sezar Group | https://erzrf.ru/zastroyschiki/brand/1214960001?regionKey=0&organizationId=1214960001,4.5
24.0,781204001.0,24/123,-1,ЖК Сердце столицы | https://erzrf.ru/novostroyki/zhk-serdce-stolicy-781204001?regionKey=143443001&gkId=781204001,г.Москва,"город Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, ул.Шеногина",54.7,2.0,бизнес,высотные дома,ДОНСТРОЙ | https://erzrf.ru/zastroyschiki/brand/430278001?regionKey=0&organizationId=430278001,5.0
25.0,10685910001.0,25/124,-1,ЖК Жилой остров Nagatino i-Land | https://erzrf.ru/novostroyki/zhk-nagatino-i-land-10685910001?regionKey=143443001&gkId=10685910001,г.Москва,"г.Москва, округ Южный, р-н Даниловский, ул.Автозаводская",54.55,90.0,бизнес,высотные дома,Группа Эталон | https://erzrf.ru/zastroyschiki/brand/1331499001?regionKey=0&organizationId=1331499001,5.0
26.0,24332008001.0,26/128,+8,ЖК Nova | https://erzrf.ru/novostroyki/zhk-nova-24332008001?regionKey=143443001&gkId=24332008001,г.Москва,"г.Москва, округ Западный, р-н Раменки, ул.Братьев Фонченко",54.05,254.0,элитный,высотные дома,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
27.0,22683698001.0,27/129,-2,ЖК PRIDE | https://erzrf.ru/novostroyki/zhk-pride-22683698001?regionKey=143443001&gkId=22683698001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Марьина Роща, ул.Полковая",54.0,111.0,элитный,дома повышенной этажности,ГК Пионер | https://erzrf.ru/zastroyschiki/brand/430031001?regionKey=0&organizationId=430031001,5.0
28.0,23959170001.0,28/133,-2,ЖК ДОМ XXII | https://erzrf.ru/novostroyki/zhk-dom-xxii-23959170001?regionKey=143443001&gkId=23959170001,г.Москва,"г.Москва, округ Центральный, р-н Хамовники, ул.Погодинская",53.75,24.0,элитный,многоэтажные дома,ДОНСТРОЙ | https://erzrf.ru/zastroyschiki/brand/430278001?regionKey=0&organizationId=430278001,5.0
29.0,23191832001.0,29/142,-2,ЖК Клубный дом DUO | https://erzrf.ru/novostroyki/zhk-po-nab-sofijskoj-34s3-23191832001?regionKey=143443001&gkId=23191832001,г.Москва,"г.Москва, округ Центральный, р-н Якиманка, наб.Софийская",53.2,41.0,элитный,многоэтажные дома,СЗ СУПЛЕКС ТЕХНОЛОДЖИС | https://erzrf.ru/zastroyschiki/brand/23190646001?regionKey=0&organizationId=23190646001,н/р
30.0,21738831001.0,30/143,-2,ЖК River Park Towers Кутузовский | https://erzrf.ru/novostroyki/zhk-river-park-towers-kutuzovskij-21738831001?regionKey=143443001&gkId=21738831001,г.Москва,"г.Москва, округ Западный, р-н Дорогомилово, пр-д Кутузовский",53.15,162.0,элитный,высотные дома,Аеон Девелопмент | https://erzrf.ru/zastroyschiki/brand/21738517001?regionKey=0&organizationId=21738517001,н/р
31.0,21691239001.0,31/145,-2,ЖК WOW | https://erzrf.ru/novostroyki/zhk-wow-21691239001?regionKey=143443001&gkId=21691239001,г.Москва,"г.Москва, округ Южный, р-н Даниловский, пр-кт Андропова",53.05,9.0,бизнес,дома повышенной этажности,ГК Страна Девелопмент | https://erzrf.ru/zastroyschiki/brand/5339663001?regionKey=0&organizationId=5339663001,5.0
32.0,5661713001.0,32/148,-2,ЖК Afi tower | https://erzrf.ru/novostroyki/zhk-silver-5661713001?regionKey=143443001&gkId=5661713001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Свиблово, пр-д Серебрякова",53.0,137.0,бизнес,высотные дома,AFI Development | https://erzrf.ru/zastroyschiki/brand/1189186001?regionKey=0&organizationId=1189186001,4.5
33.0,23612975001.0,33/150,-2,ЖК Инди Тауэрз | https://erzrf.ru/novostroyki/zhk-indi-tauerz-23612975001?regionKey=143443001&gkId=23612975001,г.Москва,"г.Москва, округ Северный, р-н Хорошёвский, ул.Куусинена",52.8,241.0,бизнес,высотные дома,Группа Аквилон | https://erzrf.ru/zastroyschiki/brand/391375001?regionKey=0&organizationId=391375001,5.0
